City,lat,lon
Adair Village city,44.67,-123.22
Adams,45.77,-118.56
Adrian,43.74,-117.07
Albany,44.63,-123.1
Aloha,45.49,-122.87
Alpine,44.33,-123.36
Alsea,44.38,-123.6
Altamont,42.2,-121.72
Amity,45.12,-123.2
Annex,44.23,-116.99
Antelope,44.91,-120.72
Arlington,45.72,-120.19
Ashland,42.19,-122.7
Astoria,46.19,-123.81
Athena,45.81,-118.49
Aumsville,44.85,-122.87
Aurora,45.23,-122.76
Baker City,44.77,-117.83
Bandon,43.11,-124.42
Banks,45.61,-123.11
Barlow,45.25,-122.72
Barview,43.35,-124.31
Bay City,45.52,-123.89
Bayside Gardens,45.71,-123.92
Beaver,45.28,-123.82
Beavercreek,45.28,-122.51
Beaverton,45.48,-122.81
Bellfountain,44.37,-123.36
Bend,44.06,-121.31
Bethany,45.56,-122.84
Biggs Junction,45.66,-120.84
Black Butte Ranch,44.36,-121.66
Blodgett,44.6,-123.52
Boardman,45.84,-119.7
Bonanza,42.2,-121.41
Brogan,44.25,-117.52
Brookings,42.07,-124.3
Brooks,45.05,-122.96
Brownsville,44.39,-122.98
Bull Mountain,45.41,-122.84
Bunker Hill,43.35,-124.21
Burns,43.59,-119.06
Butte Falls,42.54,-122.57
Butteville,45.26,-122.84
Camp Sherman,44.45,-121.65
Canby,45.27,-122.69
Cannon Beach,45.89,-123.96
Canyon City,44.39,-118.95
Canyonville,42.93,-123.28
Cape Meares,45.52,-123.95
Carlton,45.29,-123.18
Cascade Locks,45.68,-121.87
Cascadia,44.39,-122.5
Cave Junction,42.17,-123.65
Cayuse,45.68,-118.57
Cedar Hills,45.5,-122.81
Cedar Mill,45.54,-122.8
Central Point,42.38,-122.91
Chenoweth,45.62,-121.24
Chiloquin,42.58,-121.87
Clatskanie,46.1,-123.21
Cloverdale,45.2,-123.88
Coburg,44.14,-123.06
Columbia City,45.9,-122.81
Condon,45.24,-120.19
Coos Bay,43.38,-124.23
Coquille,43.18,-124.18
Cornelius,45.52,-123.05
Corvallis,44.57,-123.28
Cottage Grove,43.8,-123.06
Cove,45.3,-117.81
Crabtree,44.64,-122.91
Crane,43.42,-118.59
Crawfordsville,44.36,-122.86
Creswell,43.92,-123.02
Culver,44.52,-121.21
Dallas,44.92,-123.31
Damascus,45.43,-122.45
Days Creek,42.97,-123.17
Dayton,45.22,-123.08
Dayville,44.47,-119.53
Deer Island,45.93,-122.85
Depoe Bay,44.81,-124.06
Deschutes River Woods,43.99,-121.36
Detroit,44.73,-122.15
Dillard,43.11,-123.43
Donald,45.22,-122.84
Drain,43.66,-123.31
Dufur,45.45,-121.13
Dundee,45.28,-123.01
Dunes City,43.91,-124.1
Durham,45.39,-122.76
Eagle Crest,44.26,-121.3
Eagle Point,42.47,-122.8
Echo,45.74,-119.19
Elgin,45.56,-117.92
Elkton,43.64,-123.57
Enterprise,45.43,-117.28
Eola,44.93,-123.12
Estacada,45.3,-122.33
Eugene,44.06,-123.12
Fair Oaks,43.41,-123.22
Fairview,45.55,-122.44
Falls City,44.86,-123.44
Florence,43.99,-124.11
Foots Creek,42.38,-123.14
Forest Grove,45.52,-123.11
Fort Hill,45.07,-123.56
Fossil,45,-120.21
Four Corners,44.93,-122.97
Fruitdale,42.42,-123.3
Garden Home-Whitford,45.46,-122.76
Gardiner,43.73,-124.11
Garibaldi,45.56,-123.91
Gaston,45.44,-123.14
Gates,44.76,-122.42
Gearhart,46.03,-123.92
Gervais,45.11,-122.9
Gladstone,45.39,-122.59
Glasgow,43.44,-124.2
Glendale,42.74,-123.43
Glide,43.3,-123.07
Gold Beach,42.4,-124.42
Gold Hill,42.44,-123.05
Gopher Flats,45.67,-118.72
Government Camp,45.3,-121.75
Grand Ronde,45.07,-123.62
Granite,44.81,-118.42
Grants Pass,42.43,-123.33
Grass Valley,45.36,-120.78
Green,43.15,-123.39
Greenhorn,44.71,-118.5
Gresham,45.5,-122.44
Haines,44.91,-117.94
Halfway,44.88,-117.11
Halsey,44.38,-123.11
Happy Valley,45.44,-122.51
Harbor,42.04,-124.25
Harper,43.86,-117.63
Harrisburg,44.27,-123.17
Hayesville,44.98,-122.97
Hebo,45.23,-123.86
Helix,45.85,-118.66
Heppner,45.35,-119.56
Hermiston,45.83,-119.29
Hillsboro,45.53,-122.94
Hines,43.56,-119.08
Holley,44.35,-122.79
Hood River,45.71,-121.53
Hubbard,45.18,-122.81
Huntington,44.35,-117.27
Idanha,44.7,-122.09
Idaville,45.51,-123.86
Imbler,45.46,-117.96
Independence,44.85,-123.19
Ione,45.5,-119.82
Irrigon,45.9,-119.49
Island City,45.34,-118.05
Jacksonville,42.31,-122.97
Jeffers Gardens,46.15,-123.85
Jefferson,44.72,-123.01
Jennings Lodge,45.39,-122.62
John Day,44.42,-118.95
Johnson City,45.4,-122.58
Jordan Valley,42.98,-117.06
Joseph,45.35,-117.23
Junction City,44.22,-123.21
Juntura,43.75,-118.08
Keizer,45,-123.02
Kerby,42.2,-123.65
King City,45.4,-122.81
Kings Valley,44.7,-123.43
Kirkpatrick,45.68,-118.65
Klamath Falls,42.22,-121.78
La Grande,45.32,-118.09
La Pine,43.69,-121.49
Labish Village,45.02,-122.97
Lacomb,44.58,-122.74
Lafayette,45.25,-123.11
Lake Oswego,45.41,-122.7
Lakeside,43.58,-124.17
Lakeview,42.19,-120.35
Langlois,42.93,-124.45
Lebanon,44.53,-122.91
Lexington,45.45,-119.69
Lincoln Beach,44.88,-124.03
Lincoln City,44.97,-124.01
Lonerock,45.09,-119.88
Long Creek,44.71,-119.1
Lookingglass,43.18,-123.5
Lostine,45.49,-117.43
Lowell,43.92,-122.78
Lyons,44.78,-122.61
Madras,44.64,-121.13
Malin,42.01,-121.41
Manzanita,45.72,-123.94
Marion,44.75,-122.93
Maupin,45.17,-121.09
Maywood Park,45.55,-122.56
McMinnville,45.21,-123.19
Medford,42.34,-122.85
Mehama,44.79,-122.63
Melrose,43.25,-123.46
Merlin,42.52,-123.43
Merrill,42.03,-121.6
Metolius,44.59,-121.18
Metzger,45.45,-122.76
Mill City,44.75,-122.48
Millersburg,44.68,-123.07
Milton-Freewater,45.93,-118.39
Milwaukie,45.44,-122.62
Mission,45.66,-118.67
Mitchell,44.57,-120.15
Molalla,45.15,-122.58
Monmouth,44.85,-123.23
Monroe,44.32,-123.3
Monument,44.82,-119.42
Moro,45.48,-120.73
Mosier,45.69,-121.4
Mount Angel,45.07,-122.8
Mount Hood,45.53,-121.57
Mount Hood Village,45.34,-121.98
Mount Vernon,44.42,-119.11
Mulino,45.22,-122.56
Myrtle Creek,43.02,-123.28
Myrtle Point,43.06,-124.13
Neahkahnie,45.73,-123.94
Nehalem,45.72,-123.89
Nesika Beach,42.5,-124.41
Neskowin,45.12,-123.98
Netarts,45.44,-123.93
New Hope,42.37,-123.36
New Pine Creek,42,-120.3
Newberg,45.31,-122.96
Newport,44.62,-124.05
North Bend,43.41,-124.24
North Plains,45.6,-123
North Powder,45.03,-117.92
Nyssa,43.88,-117
O’Brien,42.07,-123.71
Oak Grove,45.42,-122.63
Oak Hills,45.54,-122.84
Oakland,43.42,-123.3
Oakridge,43.75,-122.46
Oatfield,45.41,-122.59
Oceanside,45.45,-123.96
Odell,45.64,-121.55
Ontario,44.03,-116.98
Oregon City,45.34,-122.59
Pacific City,45.21,-123.95
Paisley,42.69,-120.55
Parkdale,45.51,-121.59
Pendleton,45.67,-118.82
Peoria,44.45,-123.2
Philomath,44.54,-123.36
Phoenix,42.27,-122.82
Pilot Rock,45.5,-118.83
Pine Grove,45.11,-121.36
Pine Hollow,45.24,-121.29
Pistol River,42.28,-124.4
Plush,42.41,-119.9
Port Orford,42.75,-124.5
Portland,45.54,-122.65
Powers,42.89,-124.07
Prairie City,44.46,-118.71
Prescott,46.05,-122.89
Prineville,44.3,-120.86
Pronghorn,44.19,-121.18
Prospect,42.75,-122.48
Rainier,46.09,-122.95
Raleigh Hills,45.49,-122.76
Redmond,44.26,-121.18
Redwood,42.42,-123.39
Reedsport,43.7,-124.11
Richland,44.77,-117.17
Rickreall,44.93,-123.23
Riddle,42.95,-123.36
Rivergrove,45.39,-122.73
Riverside,45.68,-118.74
Rockaway Beach,45.62,-123.94
Rockcreek,45.55,-122.88
Rogue River,42.44,-123.17
Rose Lodge,45.02,-123.89
Roseburg,43.22,-123.35
Roseburg North,43.26,-123.3
Rowena,45.67,-121.27
Ruch,42.23,-123.04
Rufus,45.69,-120.74
Salem,44.92,-123.02
Sandy,45.4,-122.27
Scappoose,45.76,-122.88
Scio,44.7,-122.85
Scotts Mills,45.04,-122.67
Seaside,45.99,-123.92
Selma,42.28,-123.62
Seneca,44.14,-118.98
Seventh Mountain,44.01,-121.38
Shady Cove,42.61,-122.82
Shaniko,45,-120.75
Shedd,44.46,-123.11
Sheridan,45.1,-123.4
Sherwood,45.36,-122.84
Siletz,44.72,-123.92
Silver Lake,43.13,-121.05
Silverton,45,-122.78
Sisters,44.29,-121.55
Sodaville,44.48,-122.87
South Lebanon,44.5,-122.89
Spray,44.83,-119.79
Springfield,44.05,-122.98
St. Helens,45.86,-122.82
St. Paul,45.21,-122.98
Stafford,45.38,-122.68
Stanfield,45.78,-119.22
Stayton,44.8,-122.8
Sublimity,44.83,-122.79
Summerville,45.49,-118
Summit,44.64,-123.58
Sumpter,44.74,-118.2
Sunriver,43.88,-121.44
Sutherlin,43.39,-123.32
Sweet Home,44.4,-122.7
Takilma,42.04,-123.62
Talent,42.24,-122.78
Tangent,44.55,-123.11
Terrebonne,44.35,-121.18
Tetherow,44.04,-121.37
The Dalles,45.6,-121.18
Three Rivers,43.84,-121.46
Tigard,45.42,-122.78
Tillamook,45.46,-123.84
Toledo,44.62,-123.93
Trail,42.66,-122.81
Tri-City,42.99,-123.3
Troutdale,45.54,-122.4
Tualatin,45.38,-122.77
Tumalo,44.16,-121.33
Turner,44.85,-122.95
Tutuilla,45.61,-118.71
Tygh Valley,45.24,-121.17
Ukiah,45.13,-118.93
Umapine,45.98,-118.5
Umatilla,45.91,-119.31
Union,45.21,-117.87
Unity,44.45,-118.19
Vale,43.98,-117.24
Veneta,44.05,-123.35
Vernonia,45.86,-123.18
Waldport,44.42,-124.07
Wallowa,45.57,-117.53
Wallowa Lake,45.3,-117.21
Wamic,45.23,-121.29
Warm Springs,44.77,-121.29
Warren,45.81,-122.88
Warrenton,46.17,-123.92
Wasco,45.59,-120.7
Waterloo,44.49,-122.82
West Haven-Sylvan,45.52,-122.77
West Linn,45.37,-122.64
West Scio,44.71,-122.88
West Slope,45.5,-122.77
Westfir,43.76,-122.51
Weston,45.82,-118.43
Westport,46.13,-123.37
Wheeler,45.69,-123.89
White City,42.43,-122.83
Willamina,45.08,-123.48
Williams,42.22,-123.29
Wilsonville,45.31,-122.77
Wimer,42.54,-123.15
Winchester Bay,43.68,-124.18
Winston,43.12,-123.42
Wood Village,45.54,-122.42
Woodburn,45.15,-122.86
Yachats,44.31,-124.1
Yamhill,45.34,-123.19
Yoncalla,43.6,-123.29
