price,bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,lat,long
538000,3,2.25,2570,7242,1951,47.721,-122.319
180000,2,1,770,10000,1933,47.7379,-122.233
604000,4,3,1960,5000,1965,47.5208,-122.393
510000,3,2,1680,8080,1987,47.6168,-122.045
1230000,4,4.5,5420,101930,2001,47.6561,-122.005
257500,3,2.25,1715,6819,1995,47.3097,-122.327
291850,3,1.5,1060,9711,1963,47.4095,-122.315
229500,3,1,1780,7470,1960,47.5123,-122.337
323000,3,2.5,1890,6560,2003,47.3684,-122.031
468000,2,1,1160,6000,1942,47.69,-122.292
310000,3,1,1430,19901,1927,47.7558,-122.229
400000,3,1.75,1370,9680,1977,47.6127,-122.045
530000,5,2,1810,4850,1900,47.67,-122.394
650000,4,3,2950,5000,1979,47.5714,-122.375
395000,3,2,1890,14040,1994,47.7277,-121.962
485000,4,1,1600,4300,1916,47.6648,-122.343
189000,2,1,1200,9850,1921,47.3089,-122.21
230000,3,1,1250,9774,1969,47.3343,-122.306
2000000,3,2.75,3050,44867,1968,47.5316,-122.233
285000,5,2.5,2270,6300,1995,47.3266,-122.169
252700,2,1.5,1070,9643,1985,47.3533,-122.166
329000,3,2.25,2450,6500,1985,47.3739,-122.172
233000,3,2,1710,4697,1941,47.3048,-122.218
937000,3,1.75,2450,2691,1915,47.6386,-122.36
667000,3,1,1400,1581,1909,47.6221,-122.314
438000,3,1.75,1520,6380,1948,47.695,-122.304
719000,4,2.5,2570,7173,2005,47.7073,-122.11
280000,2,1.5,1190,1265,2005,47.7274,-122.357
687500,4,1.75,2330,5000,1929,47.6823,-122.368
535000,3,1,1090,3000,1929,47.6889,-122.375
322500,4,2.75,2060,6659,1981,47.4276,-122.157
696000,3,2.5,2300,3060,1930,47.6827,-122.31
550000,4,1,1660,34848,1933,47.6621,-122.132
640000,4,2,2360,6000,1904,47.6702,-122.362
240000,4,1,1220,8075,1969,47.3341,-122.282
605000,4,2.5,2620,7553,1996,47.5301,-122.18
775000,4,2.25,4220,24186,1984,47.445,-122.347
861990,5,2.75,3595,5639,2014,47.6848,-122.016
685000,3,1,1570,2280,1922,47.6413,-122.364
309000,3,1,1280,9656,1959,47.4485,-122.175
488000,3,2.5,3160,13603,2003,47.7443,-121.977
210490,3,1,990,8528,1966,47.3066,-122.371
785000,4,2.5,2290,13416,1981,47.6194,-122.151
450000,3,1.75,1250,5963,1953,47.6796,-122.301
1350000,3,2.5,2753,65005,1953,47.4041,-122.451
345000,5,2.5,3150,9134,1966,47.4934,-122.189
600000,3,1.75,1410,4080,1950,47.6808,-122.384
585000,2,1.75,1980,8550,1981,47.6989,-122.369
920000,5,2.25,2730,6000,1927,47.6571,-122.281
885000,4,2.5,2830,5000,1995,47.6597,-122.29
292500,4,2.5,2250,4495,2008,47.3663,-122.114
301000,3,2.5,2420,4750,2003,47.3663,-122.122
951000,5,3.25,3250,14342,1968,47.588,-122.116
430000,4,3,1850,9976,1991,47.5059,-122.149
289000,3,1.75,1260,8400,1954,47.4366,-122.335
505000,3,1.75,2519,8690,1973,47.4428,-122.344
549000,3,1.75,1540,1044,2014,47.6765,-122.32
425000,3,2.25,1660,6000,1979,47.6113,-122.297
317625,3,2.75,2770,3809,1925,47.5747,-122.304
975000,4,2.5,2720,11049,1989,47.5815,-122.192
287000,4,2.5,2240,4648,2005,47.3378,-122.257
204000,3,1,1000,12070,1968,47.3621,-122.11
1330000,5,2.25,3200,20158,1965,47.6303,-122.215
325000,3,2,1260,5612,1972,47.7362,-122.179
571000,4,2,2750,7807,1916,47.7168,-122.287
360000,4,2.5,2380,5000,2005,47.3608,-122.036
349000,3,1.75,1790,50529,1965,47.3511,-122.073
832500,4,4,3430,35102,1986,47.5822,-121.987
380000,4,1.75,1760,7300,1956,47.6034,-122.125
480000,3,1,1040,5060,1941,47.5636,-122.394
410000,3,1,1410,5060,1956,47.7073,-122.34
720000,4,2.5,3450,39683,2002,47.342,-122.025
360000,4,2.5,1900,5889,1992,47.349,-122.031
355000,2,1,2020,6720,1948,47.5474,-122.291
356000,3,1.5,1680,8712,1964,47.4811,-122.149
315000,3,1,960,6634,1952,47.7264,-122.31
940000,3,1.5,2140,3600,1925,47.6337,-122.365
305000,5,2.25,2660,8400,1961,47.2909,-122.189
461000,3,3.25,2770,6278,2006,47.5228,-122.199
215000,2,2.25,1610,2040,1979,47.518,-122.194
335000,2,1.75,1030,1066,2006,47.5394,-122.387
1100000,5,2.75,3520,6353,2001,47.6506,-122.391
153000,3,1,1200,10500,1962,47.322,-122.351
430000,3,1.5,1580,5000,1939,47.687,-122.386
700000,3,1.5,1580,5000,1939,47.687,-122.386
905000,4,2.5,3300,10250,1946,47.5873,-122.249
247500,3,1.75,1960,15681,1967,47.3576,-122.277
199000,4,1.5,1160,6400,1975,47.3036,-122.378
314000,3,1.75,1810,41800,1980,47.4109,-121.958
437500,3,2.5,2320,36847,1992,47.4838,-121.714
555000,3,2,1980,3478,1929,47.6775,-122.372
699950,3,2.25,2190,107593,1983,47.7731,-122.08
1090000,3,2.5,2920,8113,1950,47.5814,-122.196
290000,3,1,1210,33919,1954,47.4375,-122.184
375000,3,2.5,2340,10005,1978,47.4431,-122.133
460000,3,1,1670,4005,1939,47.6878,-122.38
188500,2,1.75,1240,2493,1985,47.3813,-122.322
680000,4,2.5,3140,28037,1991,47.7304,-122.082
470000,5,1.75,2030,12342,1942,47.6417,-122.109
570000,3,1.75,1260,3328,1905,47.6823,-122.349
272500,3,1.75,1540,12600,1980,47.3624,-122.031
329950,3,1.75,2080,5969,1971,47.5474,-122.295
480000,4,2.5,3230,16171,2001,47.3183,-122.253
740500,3,3.5,4380,6350,1900,47.6981,-122.368
518500,3,3.5,1590,1102,2010,47.6824,-122.347
205425,2,1,880,6780,1945,47.5009,-122.248
171800,4,2,1570,9600,1950,47.4965,-122.303
535000,4,1,1610,2982,1925,47.587,-122.294
391500,3,2,1450,9132,1987,47.7288,-122.226
395000,2,1,770,6000,1953,47.6999,-122.364
445000,4,1.75,2100,4400,1924,47.5299,-122.266
770000,3,2.25,2910,10204,1990,47.6897,-122.098
1450000,4,2.75,2750,17789,1914,47.6141,-122.212
445000,3,2.25,2100,8201,1967,47.5091,-122.244
260000,4,2.25,2160,8811,1978,47.3129,-122.39
822500,5,3.5,2320,4960,1926,47.6763,-122.352
430000,4,2.5,2070,4310,2004,47.5319,-121.85
660500,4,2.25,2010,9603,1986,47.5343,-122.054
784000,3,3.5,3950,111078,1989,47.697,-122.072
453246,3,2.5,2010,2287,2014,47.5517,-121.998
675000,4,3.5,2140,2278,2005,47.6734,-122.38
199000,3,1.75,1320,17390,1956,47.3257,-122.296
220000,4,1.75,2020,7840,1968,47.3309,-122.299
452000,4,2.25,2590,10002,1968,47.7689,-122.266
382500,2,1,1190,4440,1981,47.7135,-122.287
519950,3,2.25,1170,1249,2014,47.6722,-122.381
527700,5,2.5,2820,9375,1968,47.5707,-122.128
205000,3,1,1610,8579,1962,47.4563,-122.171
420000,3,1,1060,8097,1923,47.7144,-122.351
500000,4,2.25,2030,8517,1961,47.5495,-122.174
921500,4,2.5,3670,315374,1994,47.7421,-122.026
890000,4,1,2550,4000,1905,47.6354,-122.353
430000,2,2.5,2420,60984,2007,47.5262,-121.943
258000,5,2,2260,12500,1960,47.3887,-122.286
511000,3,1,1430,3455,1947,47.6873,-122.336
560000,3,1,1110,5000,1947,47.655,-122.359
282950,3,1,1250,8200,1954,47.3255,-122.304
2250000,4,3.25,5180,19850,2006,47.562,-122.162
350000,1,1,700,5100,1942,47.679,-122.3
215000,3,1,1180,7669,1967,47.4479,-122.176
650000,5,3.5,3960,25245,1996,47.525,-122.172
320000,4,2.75,2640,7500,1967,47.3135,-122.369
247000,3,2,1270,7198,1916,47.2086,-121.996
320000,4,1.75,1760,11180,1968,47.4715,-122.118
438000,3,1.75,1780,9660,1962,47.7171,-122.193
900000,3,2.5,3400,16603,2000,47.6012,-122.023
441000,3,2.75,1910,7280,1979,47.7319,-122.224
420000,3,2,2020,38332,1975,47.4582,-122.023
370000,3,1.75,1580,7000,1976,47.7209,-122.168
269950,2,1.75,1340,7250,1949,47.408,-122.327
807100,4,2.5,2680,4499,1999,47.565,-122.125
653000,3,2.5,2680,9750,1979,47.7028,-122.231
371500,3,2,1370,8336,1964,47.7458,-122.331
272000,3,1.75,2160,7140,1978,47.3026,-122.374
313000,3,1.5,1340,7912,1955,47.7658,-122.339
917500,4,2.5,3880,35003,1984,47.6477,-122.182
673000,4,2.25,2590,8190,1980,47.5619,-122.125
425000,3,2.5,1120,1100,2008,47.6106,-122.31
399950,5,2.75,1970,5400,1986,47.5868,-122.308
385000,3,1,1220,4800,1901,47.6101,-122.307
269950,3,1.5,1950,7560,1975,47.1976,-121.999
330000,2,1,1350,8220,1949,47.7224,-122.358
470000,4,3,2380,5125,1925,47.5384,-122.376
589000,4,3,2440,9600,1961,47.7044,-122.2
163500,2,1.5,1050,3419,1996,47.3848,-122.039
835000,4,2.75,3130,13412,1993,47.6993,-122.102
1100000,5,3,4090,12850,1986,47.6627,-122.188
269000,4,1.75,1490,10000,1969,47.3099,-122.379
560000,3,2.5,1900,8744,1987,47.62,-122.043
615000,4,1,1330,2400,1901,47.65,-122.34
585188,3,2.25,2230,10026,1975,47.6647,-122.153
166950,3,1,1190,8820,1959,47.4616,-122.184
799000,3,2.5,2140,9897,1959,47.5505,-122.219
400000,3,2.5,2180,7508,1962,47.7606,-122.336
230000,3,1,1060,10228,1948,47.7481,-122.3
256883,3,2.5,1690,5025,2003,47.2779,-122.347
423000,4,2,1970,6480,1920,47.5511,-122.312
465000,3,2.5,2150,4084,2007,47.5488,-122.372
440000,3,2.5,1910,66211,1997,47.5385,-121.911
385000,3,1.75,1350,155073,1969,47.4058,-121.994
297000,3,2.5,1940,14952,1994,47.3777,-122.165
470000,3,1,1010,5000,1952,47.675,-122.394
226500,3,1.5,1300,7370,1976,47.3025,-122.37
274250,3,1,910,8450,1962,47.4787,-122.158
840000,4,1.75,2480,11010,1966,47.5378,-122.219
677900,3,2.5,2440,4587,2010,47.7073,-122.114
425000,3,1,1010,5864,1915,47.5733,-122.381
180250,2,0.75,900,9600,1941,47.4604,-122.339
464000,6,3,2300,3404,1920,47.7067,-122.343
625504,3,2.25,1270,1566,2014,47.6647,-122.284
592500,4,2.5,2240,12032,1983,47.6143,-122.017
465000,3,2.5,2714,17936,2005,47.3185,-122.275
477000,4,2.75,1720,6270,1978,47.5458,-122.268
280000,2,1,850,16400,1923,47.4889,-122.299
1510000,5,3,3300,33474,1957,47.5673,-122.21
445838,3,2.5,2250,5692,2000,47.5133,-122.379
1070000,2,2.25,3900,14864,1947,47.5884,-122.291
467000,2,1.5,1320,10800,1947,47.7145,-122.367
279950,3,2,1750,9750,1961,47.398,-122.299
527000,4,2.25,2330,19436,1987,47.7663,-122.215
325000,3,2.25,2220,16020,1966,47.3758,-122.217
328000,3,2.25,2020,8379,1994,47.3828,-122.023
390000,3,2.25,1250,7500,1942,47.5123,-122.373
479950,2,2,1510,6516,2005,47.7076,-122.013
264950,4,2.25,1720,9753,1978,47.2922,-122.371
235000,3,1,1430,15246,1961,47.4075,-122.214
516500,3,2.5,1480,4729,2004,47.6794,-122.034
500000,4,2.75,2280,15347,1960,47.5218,-122.164
315000,6,2.75,2940,7350,1978,47.3103,-122.339
213000,2,1,1000,10200,1961,47.5687,-121.899
475000,3,1.5,2480,5280,1947,47.5575,-122.303
1030000,5,4,3760,28040,1983,47.6489,-122.183
416000,3,2,2220,94300,1976,47.3459,-121.95
410000,4,1,1970,4740,1904,47.6136,-122.303
800000,3,3.5,3830,221284,1993,47.7641,-122.023
472000,6,2.5,4410,14034,1965,47.3376,-122.324
210000,2,1,830,6000,1940,47.5308,-122.376
455000,2,1,1430,5000,1925,47.6727,-122.299
225000,3,1,1300,8316,1954,47.3221,-122.216
480000,2,1,1030,3060,1918,47.6779,-122.353
363000,3,2.5,2740,11872,1990,47.3076,-122.395
2400000,4,2.5,3650,8354,2000,47.6338,-122.072
181000,2,1.5,720,5120,1954,47.5218,-122.357
250000,4,2,2010,7312,1976,47.2785,-122.213
481000,3,1.75,1560,3000,1918,47.6846,-122.345
455000,4,2.5,3360,7685,2001,47.4369,-122.111
415000,3,2.25,1510,36224,1991,47.4616,-121.711
349500,3,1,1400,3538,1953,47.5405,-122.27
245000,3,2.5,1730,7442,1987,47.3507,-122.178
592500,2,2,1420,9191,1928,47.6979,-122.32
385000,4,1.75,2360,7620,1955,47.5278,-122.345
315000,3,1.75,1580,11455,1974,47.4756,-122.147
255000,3,1,1230,10170,1979,47.4437,-121.772
693000,4,2.5,2460,4425,2006,47.7048,-122.109
237000,3,1.75,1270,8470,1960,47.4207,-122.29
525000,3,2.25,2100,40510,1979,47.6154,-122.047
425000,2,1,770,5040,1930,47.5964,-122.299
369900,1,0.75,760,10079,1936,47.4683,-122.438
290000,4,2.5,1700,7280,1988,47.4045,-122.171
285000,3,1,1120,10701,1954,47.5544,-122.358
415000,2,1,1070,4500,1937,47.6802,-122.29
272500,3,2.5,2070,9900,1979,47.2988,-122.371
2900000,4,3.25,5050,20100,1982,47.6312,-122.223
436000,2,1,1040,7538,1939,47.7107,-122.352
210000,3,1,1700,11390,1967,47.3271,-122.323
236000,3,1,1300,5898,1961,47.5053,-122.255
331000,3,1.75,1080,1306,1954,47.6601,-122.4
365000,3,2.5,2653,4510,2006,47.4145,-122.166
450000,3,2,2290,16258,1960,47.4672,-122.165
770000,4,2.75,3820,26300,2014,47.7618,-122.261
455000,4,2.5,2210,49375,1997,47.3828,-122.071
405000,3,1.75,2390,6000,1908,47.5362,-122.268
170000,2,1,860,5265,1931,47.5048,-122.272
2050000,5,3,3830,8480,1905,47.6166,-122.287
780000,4,2.5,3500,7048,2005,47.6811,-122.025
330000,3,3,2420,13959,1988,47.7486,-122.23
370000,4,2.5,2720,8666,1992,47.3846,-122.169
467000,5,2.25,2500,13500,1979,47.7564,-122.144
405000,3,1.75,1670,6720,1980,47.7198,-122.193
675000,5,2.25,2900,10300,1985,47.5461,-122.151
500000,2,1,1640,14100,1954,47.5712,-122.143
630000,4,1.75,2950,9025,1975,47.7128,-122.223
360000,4,2.5,2160,9528,1992,47.3341,-122.255
580000,4,3,3280,11060,1986,47.5399,-122.181
550000,3,2,1970,4166,1929,47.5717,-122.375
879000,4,2.5,3360,22111,1994,47.5951,-122.017
265000,3,2,1320,8959,1993,47.3536,-122.144
446500,3,2.5,2650,7286,1990,47.5084,-122.154
404000,3,1.5,2030,8880,1963,47.5586,-122.311
267500,3,1.75,1590,11914,1957,47.4427,-122.274
335000,3,2.5,2440,7632,1998,47.3494,-122.301
576000,3,2.5,1940,9000,1948,47.6933,-122.393
208633,3,2.5,2040,3810,2006,47.3537,-122
315000,3,2.25,2200,8750,1964,47.476,-122.337
725000,3,1.75,1920,3300,1913,47.6239,-122.298
550000,4,2.75,1800,7750,1965,47.7776,-122.384
610750,4,2.25,2180,7297,1984,47.6459,-122.058
550700,2,1,1010,5000,1908,47.6692,-122.297
665000,4,2.75,3320,10574,1960,47.5376,-122.18
201000,5,1.75,1660,78408,1915,47.529,-121.837
2380000,5,2.5,3650,9050,1921,47.6345,-122.367
1380000,4,3.25,4290,12103,1997,47.5503,-122.102
1400000,4,3.25,4290,12103,1997,47.5503,-122.102
305000,4,2.25,1950,7700,1979,47.4441,-122.125
487000,3,2,2590,14052,1948,47.7357,-122.333
390000,3,2.5,1930,64904,1988,47.346,-122.157
548000,2,1,1470,3864,1916,47.6638,-122.345
268750,4,1,800,8775,1943,47.48,-122.336
520000,3,2.25,2030,16200,1984,47.5162,-122.057
